run_id,run_name,timestamp,sweep_name,model.name,model.context_length,data.dataset_size,data.dataset_path,training.batch_size,training.max_gpu_batch_size,training.eval_batch_size,training.gradient_accumulation_steps,training.learning_rate,training.num_epochs,training.seed,training.scheduler,training.warmup_steps,training.save_steps,training.eval_steps,run.name,run.init_type,run.checkpoint,initialization.init_type,initialization.init_std,initialization.init_mean,run.wandb_project_name
d958206e,test,2025-02-27 17:27:56,,gpt2,1024.0,10M,/om2/user/jackking/straightening_dynamics/data,32.0,16.0,16.0,8.0,0.0006,1.0,42.0,cosine,100.0,500.0,500.0,test,normal,,,,,
408cabdf,initialization_sweep_test_1,2025-02-27 18:03:14,initialization_sweep_test,gpt2,1024.0,10M,/om2/user/jackking/straightening_dynamics/data,32.0,16.0,16.0,8.0,0.0006,1.0,42.0,cosine,100.0,500.0,500.0,initialization_sweep_test_1,,,normal,0.01,0.0,straightening_dynamics
